Datetime,SVD_O2A,SVD_O2B,SVD_O2A_PSII,NIR_v_O2A,NIR_v_O2B,NDVI,fPAR,fesc,Temperature_dataset0,rH,VPD,vwc,Rn,PAR_dataset0,Ca,GPP_dataset0
2021-05-23 09:00:00,0.0647242293973334,0.0148246348840665,0,0.298773028710951,0.0214171539130514,0.891811222165724,0.682293000168443,0.390520113527602,16.0462,73.6124,-132.398598359471,18.2,330.7169,784.2141,412.415,25.6453543418331
2021-05-23 09:30:00,0.0799685668312669,0.0203136322565536,0,0.30222025123176,0.0219215347660954,0.890369659815051,0.681186401717057,0.395028059280332,16.6027,72.4218,-134.927712566997,18.2,364.619,866.5116,407.346,33.5188653739582
2021-05-23 10:00:00,0.125322993268155,0.0378849262446716,0,0.281790994447691,0.0205735950992911,0.889121555865189,0.680395137528635,0.368236681294016,18.0638,66.705,-136.13709488052,18.1,564.9105,1243.66125,405.551,40.4822809305008
2021-05-23 10:30:00,0.0915538874703525,0.0292747384239202,0,0.283780041769006,0.0217658432434664,0.8841380990196,0.670343344693951,0.37428692125511,18.1472,65.6447,-134.643843297178,18.1,479.076,1091.3835,403.517,38.3112403398305
2021-05-23 11:00:00,0.0942480483836233,0.0226271538974642,0,0.271124093375831,0.0211200985890394,0.881580007597187,0.667984545687203,0.357819027163497,18.6296,68.1737,-144.206795789818,18,535.5104,1227.74175,402.705,38.5889543340901
2021-05-23 11:30:00,0.0908213700498124,0.0314930589369487,0,0.272544268995211,0.0222578207594399,0.875429932241492,0.658360163979713,0.362405601057352,19.3741,67.0156,-148.458290034522,18.1,601.0182,1367.415,403.253,40.0032457969367
2021-05-23 12:00:00,0.103273373103184,0.0275715531349652,0,0.268258444491118,0.022823736891835,0.871031906510396,0.649406223306754,0.359808169303975,20.3845,57.0274,-134.136696942022,18,641.3636,1457.0298,403.927,44.8780255651387
2021-05-23 12:30:00,0.102761408182829,0.0434377416566557,0,0.258023201576398,0.024198699678531,0.85822834949139,0.629217067151054,0.351933915941024,20.9986,52.2633,-127.460269433373,18.1,697.7885,1610.82,401.076,42.2968759639188
2021-05-23 13:00:00,0.0679277663626915,0.0367431831372736,0,0.276230080061592,0.0231387776853195,0.873384908197559,0.652042827700232,0.369998982991516,21.2926,47.8055,-118.494764294086,18.1,534.4041,1275.936,403.414,39.7157263626988
2021-05-23 13:30:00,0.076011014611878,0.0193577657163342,0,0.274584463518409,0.0230907652021903,0.872764234793848,0.651074443371778,0.368080027758177,21.5799,45.0235,-113.429265536265,17.9,590.9618,1348.88715,401.509,38.6214460112456
2021-05-23 14:00:00,0.0411935615769254,0.0254572467149373,0,0.249990330946921,0.0209307967207039,0.872719443897946,0.651637750795477,0.334804762826479,22.5129,41.2711,-109.830427743628,18.1,552.7424,1306.8711,402.511,42.9823598362509
2021-05-23 14:30:00,0.0736514684382534,0.0228636342884769,0,0.281828707371915,0.0229475031887059,0.876640272474273,0.657679081906784,0.375657979124543,22.7571,36.92,-99.4255886428314,18,438.6389,1062.99465,400.588,37.9069656085853
2021-05-23 15:00:00,0.0688757355188836,0.019087979069448,0,0.283006997720542,0.0227617190158997,0.878513777228305,0.660335469881047,0.376513996127306,22.7651,33.4855,-89.9625854642671,17.9,371.0847,913.599,401.578,38.0869166379088
2021-05-23 15:30:00,0.051439014734588,0.0196552904618939,0,0.282390687674889,0.0225691709709054,0.879360403022592,0.661685958824555,0.375288587602416,22.6814,32.0871,-85.6543203663416,17.9,261.4585,674.6232,401.95,30.0522439628917
